iter	RMSE
0	57.76353065
1	57.29062503
2	56.82481731
3	56.37844101
4	55.92668957
5	55.5080304
6	55.10500364
7	54.70957055
8	54.36611038
9	54.04564279
10	53.6852936
11	53.33819185
12	52.99958893
13	52.68677638
14	52.38800614
15	52.09014556
16	51.83038436
17	51.54548985
18	51.27142485
19	51.00680083
20	50.76753291
21	50.51447762
22	50.2795459
23	50.04049365
24	49.83019863
25	49.65363724
26	49.44616054
27	49.2349785
28	49.05817777
29	48.90178806
30	48.7267128
31	48.54845266
32	48.37090877
33	48.20069496
34	48.03188745
35	47.88793453
36	47.7733759
37	47.63209588
38	47.5052026
39	47.37539279
40	47.26370973
41	47.12097559
42	47.01377369
43	46.90845873
44	46.77913303
45	46.68386486
46	46.57886047
47	46.46223561
48	46.33813012
49	46.22583939
50	46.15071347
51	46.07399133
52	45.97444612
53	45.87843
54	45.7855039
55	45.68141196
56	45.61566671
57	45.53816604
58	45.47211614
59	45.39294436
60	45.29025621
61	45.21610282
62	45.13479042
63	45.06605689
64	45.00643576
65	44.9422784
66	44.86266589
67	44.80443577
68	44.73018052
69	44.65855667
70	44.5813203
71	44.52447497
72	44.45899743
73	44.41255861
74	44.36932005
75	44.31265793
76	44.23742682
77	44.16839425
78	44.11203422
79	44.07385618
80	43.99883118
81	43.93700483
82	43.89191924
83	43.82778567
84	43.75614964
85	43.70370896
86	43.66120268
87	43.61413715
88	43.57108299
89	43.52795228
90	43.5038477
91	43.45564701
92	43.42020682
93	43.37358341
94	43.3391994
95	43.2921692
96	43.24512205
97	43.21199947
98	43.17555706
99	43.14393291
100	43.10604639
101	43.06461276
102	43.01202376
103	42.98050778
104	42.95942201
105	42.91877936
106	42.88613113
107	42.86565178
108	42.81600261
109	42.7907517
110	42.76690324
111	42.73631597
112	42.69645769
113	42.67209376
114	42.64444979
115	42.61417608
116	42.57920115
117	42.53662874
118	42.50768933
119	42.48479305
120	42.46026042
121	42.42273414
122	42.38769592
123	42.36582905
124	42.32749556
125	42.3048637
126	42.28303142
127	42.26137527
128	42.22369724
129	42.19939569
130	42.16825404
131	42.14684208
132	42.12833958
133	42.08647911
134	42.05046133
135	42.02052366
136	41.97367767
137	41.96072139
138	41.92123658
139	41.90058049
140	41.88158847
141	41.86248693
142	41.84147626
143	41.80282613
144	41.76613392
145	41.75171079
146	41.7116104
147	41.68483426
148	41.64452367
149	41.61623265
150	41.60273101
151	41.58373628
152	41.55978087
153	41.53784298
154	41.52081893
155	41.50213148
156	41.48649279
157	41.47058846
158	41.43891313
159	41.41747979
160	41.39564378
161	41.37934981
162	41.3518695
163	41.33865831
164	41.31628608
165	41.30115102
166	41.28303817
167	41.25890434
168	41.22877993
169	41.21716263
170	41.17168662
171	41.15140617
172	41.1363709
173	41.10069726
174	41.07849877
175	41.05991735
176	41.02651831
177	41.00708285
178	40.98265253
179	40.96550731
180	40.94840134
181	40.92774579
182	40.90932176
183	40.88471421
184	40.86516479
185	40.84691807
186	40.82746306
187	40.81239513
188	40.79403679
189	40.77468605
190	40.75547641
191	40.73507948
192	40.72007981
193	40.70348946
194	40.67443097
195	40.65223221
196	40.63847396
